iter	Passed	Remaining
409	4964	7143
410	4975	7130
411	4987	7117
412	4997	7103
413	5009	7090
414	5019	7075
415	5029	7060
416	5040	7047
417	5051	7033
418	5061	7018
419	5072	7004
420	5082	6989
421	5094	6978
422	5104	6962
423	5114	6948
424	5126	6936
425	5139	6924
426	5150	6912
427	5162	6899
428	5174	6887
429	5185	6873
430	5196	6860
431	5207	6847
432	5220	6835
433	5233	6825
434	5246	6814
435	5261	6806
436	5276	6797
437	5289	6786
438	5303	6777
439	5319	6770
440	5407	6853
441	5451	6882
442	5484	6896
443	5500	6887
444	5516	6880
445	5532	6871
446	5545	6860
447	5558	6848
448	5571	6836
449	5583	6824
450	5598	6814
451	5614	6807
452	5627	6795
453	5640	6783
454	5654	6772
455	5668	6762
456	5681	6750
457	5694	6738
458	5708	6728
459	5722	6717
460	5737	6708
461	5751	6697
462	5765	6687
463	5778	6675
464	5798	6670
465	5812	6660
466	5824	6647
467	5836	6635
468	5850	6624
469	5863	6612
470	5876	6600
471	5890	6589
472	5903	6577
473	5917	6566
474	5929	6553
475	5942	6541
476	5953	6527
477	5967	6516
478	5979	6503
479	5991	6491
480	6001	6476
481	6014	6463
482	6024	6449
483	6035	6434
484	6048	6422
485	6062	6411
486	6074	6398
487	6086	6385
488	6103	6377
489	6117	6366
490	6131	6356
491	6148	6348
492	6165	6340
493	6180	6330
494	6198	6323
495	6212	6312
496	6225	6300
497	6238	6288
498	6250	6275
499	6264	6264
500	6276	6251
501	6288	6238
502	6298	6223
503	6311	6211
504	6322	6197
505	6333	6183
506	6346	6171
507	6358	6158
508	6370	6145
509	6382	6132
510	6395	6120
511	6408	6108
512	6420	6095
513	6431	6081
514	6443	6068
515	6455	6055
516	6465	6040
517	6478	6028
518	6490	6015
519	6503	6003
520	6513	5988
521	6526	5975
522	6539	5964
523	6551	5951
524	6563	5938
525	6578	5927
526	6594	5918
527	6613	5911
528	6627	5901
529	6642	5890
530	6657	5879
531	6672	5869
532	6686	5858
533	6700	5847
534	6715	5836
535	6725	5822
536	6737	5809
537	6748	5795
538	6758	5780
539	6769	5766
540	6781	5753
541	6791	5738
542	6802	5724
543	6813	5710
544	6823	5696
545	6834	5682
546	6844	5668
547	6855	5654
548	6867	5641
549	6879	5628
550	6892	5616
551	6905	5604
552	6919	5593
553	6932	5581
554	6945	5569
555	6958	5556
556	6971	5544
557	6985	5533
558	7000	5522
559	7015	5512
560	7027	5499
561	7038	5485
562	7049	5471
563	7060	5457
564	7070	5443
565	7082	5430
566	7093	5416
567	7102	5402
568	7114	5389
569	7125	5375
570	7136	5361
571	7148	5348
572	7158	5334
573	7168	5319
574	7179	5306
575	7190	5292
576	7201	5279
577	7214	5267
578	7226	5254
579	7237	5240
580	7252	5229
581	7265	5218
582	7279	5206
583	7294	5196
584	7308	5184
585	7322	5173
586	7333	5160
587	7346	5147
588	7361	5137
589	7375	5125
